Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Compare At Price,Image Src,Image Alt Text,SEO Title,SEO Description,URL Redirect
"ادفيون-جل-لمكافحة-الصراصير-30-جرام-الاصلي","ادفيون جل لمكافحة الصراصير 30 جرام الاصلي","ادفيون جل لمكافحة الصراصير عبارة عن مبيد حشري على شكل طعم جاهز للاستخدام في مكافحة الصراصير البالغة والحوريات يحتوي على المادة الفعالة إندوكساكارب % 0,6 عديمة الرائحة. يحتوي على مواد جاذبة تجذب الصراص","","",",",true,"Default","",Z.17841379769584298,100,78.00,,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/184abf40-ab01-4c1d-89ae-8f9bf4fe0967-thumbnail-1000x1000-70.jpg","ادفيون جل لمكافحة الصراصير 30 جرام الاصلي","ادفيون جل لمكافحة الصراصير 30 جرام الاصلي","ادفيون جل لمكافحة الصراصير عبارة عن مبيد حشري على شكل طعم جاهز للاستخدام في مكافحة الصراصير البالغة والحوريات يحتوي على المادة الفعالة إندوكساكارب % 0,6 عديمة ا",""
"برايت-25-دبليو-بي-100-جرام","برايت 25% دبليو بي 100 جرام","برايت 25% دبليو بي – الحل الفعّال لمكافحة الحشرات والآفات 💪 قوة الأداء مبيد حشري عالي الكفاءة يحتوي على 25% من المادة الفعالة إميداكلوبريد، يعمل بفعالية مزدوجة عبر الملامسة والتأثير المعدي ليقضي على ","","",",",true,"Default","",Z.17841334097165768,100,23.00,,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/5da6e9c3-191e-41ed-b4d2-ca7f019e5c14-thumbnail-1000x1000-70.webp","برايت 25% دبليو بي 100 جرام","برايت 25% دبليو بي 100 جرام","برايت 25% دبليو بي – الحل الفعّال لمكافحة الحشرات والآفات 💪 قوة الأداء مبيد حشري عالي الكفاءة يحتوي على 25% من المادة الفعالة إميداكلوبريد، يعمل بفعالية مزدوجة",""
"مبيد-عناكب-وبرو-بيفنزيت-حجم-500-مللي","مبيد عناكب وبرو – بيفنزيت حجم 500 مللي","بيفنزيت 24% أس سي الخصائص والمميزات:1- مبيد عناكبي متخصص على هيئة مركز، ويتبع مجموعة جديدة ومتميزة2- غير جهازي ويعمل بالملامسة ، له تأثير صاعق وسريع على كافة اطوارالعناكب3- يوفر حماية طويلة الامد ، ام","","",",",true,"Default","",Z.17841324944673653,100,138.00,,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/9c2e1712-fcb4-48e7-8660-7f1bc48246b1-thumbnail-1000x1000-70.jpg","مبيد عناكب وبرو – بيفنزيت حجم 500 مللي","مبيد عناكب وبرو – بيفنزيت حجم 500 مللي","بيفنزيت 24% أس سي الخصائص والمميزات:1- مبيد عناكبي متخصص على هيئة مركز، ويتبع مجموعة جديدة ومتميزة2- غير جهازي ويعمل بالملامسة ، له تأثير صاعق وسريع على كافة اط",""
"بتموس-مخصب-300-لتر","بتموس مخصب 300 لتر","💧 الخصائص الفيزيائية والبيولوجية نسبة الرطوبة: أكثر من 40% نسبة الكربون إلى النيتروجين (C/N): 1 / 40.5 البكتيريا القولونية: أقل من 5 خلايا/غرام المسامية: 60–90% الكثافة: أقل من 95 درجة الحموضة (pH): ","","",",",true,"Default","",Z.17840299210378025,100,165.00,,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/34e1d376-f860-4ece-96ff-72abd2748e0f-thumbnail-1000x1000-70.jpg","بتموس مخصب 300 لتر","بتموس مخصب 300 لتر","💧 الخصائص الفيزيائية والبيولوجية نسبة الرطوبة: أكثر من 40% نسبة الكربون إلى النيتروجين (C/N): 1 / 40.5 البكتيريا القولونية: أقل من 5 خلايا/غرام المسامية: 60–90",""
"مسحاة-هلالية-كبيرة","مسحاة هلالية كبيرة","مسحاة هلالية كبيرة","","",",",true,"Default","",Z.1783513753642435,100,80.50,,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/d3bfaf58-6adb-4f3a-acf4-8da8b0bb7c73-thumbnail-1000x1000-70.webp","مسحاة هلالية كبيرة","مسحاة هلالية كبيرة","مسحاة هلالية كبيرة",""
"عصا-مسحاة-اسبانى-مدور","عصا مسحاة اسبانى ( مدور )","عصا مسحاة اسبانى ( مدور )","","",",",true,"Default","",Z.17834276854004767,100,23.00,,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/b55a8f34-ebb2-4067-8940-651005a630ec-thumbnail-1000x1000-70.jpg","عصا مسحاة اسبانى ( مدور )","عصا مسحاة اسبانى ( مدور )","عصا مسحاة اسبانى ( مدور )",""
"مسحاة-هلالية-صغيرة","مسحاة هلالية صغيرة ","مسحاة هلالية صغيرة","","",",",true,"Default","",Z.17834272232950273,100,65.55,,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/26fa0f38-5bf3-45ad-bc89-c4d23f34405b-thumbnail-1000x1000-70.webp","مسحاة هلالية صغيرة ","مسحاة هلالية صغيرة ","مسحاة هلالية صغيرة",""
"مانفيرت-ك-فروت-1لتر","مانفيرت -ك- فروت 1لتر","مانفيرت كفروت هو منتج مبيد حشري يستخدم لمكافحة الحشرات الضارة في الفواكه. يساعد في السيطرة على الآفات المختلفة","","",",",true,"Default","",Z.17833580621980655,100,40.25,,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/ddd67721-5734-4a7f-9bcf-70b837e1d9c5-thumbnail-1000x1000-70.jpg","مانفيرت -ك- فروت 1لتر","مانفيرت -ك- فروت 1لتر","مانفيرت كفروت هو منتج مبيد حشري يستخدم لمكافحة الحشرات الضارة في الفواكه. يساعد في السيطرة على الآفات المختلفة",""
"مجموعة-بذور-الورقيات-عدد-6-باكت","مجموعة بذور الورقيات عدد ( 6 باكت )","مجموعة بذور الورقيات مكونه من 6 انواع  مختلفه كل باكت 50 جرام ملوخية جرجير بقدونس كرات كزبرة سلق","","",",",true,"Default","",Z.17832709600332527,100,14.00,,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/30453cf2-91fd-4367-8895-e1290920c8e3-thumbnail-1000x1000-70.jpg","مجموعة بذور الورقيات عدد ( 6 باكت )","مجموعة بذور الورقيات عدد ( 6 باكت )","مجموعة بذور الورقيات مكونه من 6 انواع  مختلفه كل باكت 50 جرام ملوخية جرجير بقدونس كرات كزبرة سلق",""
"مقص-تقليم-اينوكس-3622","مقص تقليم اينوكس 3622","مقص تقليم اينوكس 3622","","",",",true,"Default","",Z.17829229551547177,100,55.00,,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/57d150e6-5e77-4807-9689-e727584928ce-thumbnail-1000x1000-70.webp","مقص تقليم اينوكس 3622","مقص تقليم اينوكس 3622","مقص تقليم اينوكس 3622",""
